name,Density (g/cm3),POAV (cm3/g),a,b,c
OBELiX_167,2.38909,0.0874892,7.09109000,7.09109000,11.50958000
OBELiX_168,6.06611,0.0209953,9.04950000,9.04950000,7.81980000
OBELiX_169,1.29506,0.00693403,3.64800000,3.64800000,3.87500000
OBELiX_16,3.11584,0.0638929,20.67540000,11.15090000,14.57690000
OBELiX_170,2.90643,0.0204994,10.06170000,10.06170000,14.08320000
OBELiX_171,1.43257,0,4.27300000,4.27300000,7.59400000
OBELiX_172,1.67748,0,3.55200000,3.55200000,6.31100000
OBELiX_173,5.30037,0,12.79700000,12.79700000,12.79700000
OBELiX_174,3.88062,0.0337626,9.68100000,9.68100000,9.68100000
OBELiX_175,2.0367,0,11.80203000,11.80203000,11.80203000
OBELiX_176,1.86156,0,11.70737000,11.70737000,11.70737000
OBELiX_177,2.36441,0,9.48000000,9.48000000,9.48000000
OBELiX_178,3.30356,0.00623569,8.37740000,8.37740000,8.37740000
OBELiX_179,3.30451,0.00614312,8.37660000,8.37660000,8.37660000
OBELiX_17,5.4968,0.00712051,12.72980000,11.58370000,9.22510000
OBELiX_180,4.40106,0.00398086,8.20980000,8.20980000,8.20980000
OBELiX_181,4.42316,0,8.19610000,8.19610000,8.19610000
OBELiX_182,3.30143,0.00703331,8.37920000,8.37920000,8.37920000
OBELiX_183,3.29978,0.00784901,8.38060000,8.38060000,8.38060000
OBELiX_184,2.24631,0,8.22340000,8.22340000,8.22340000
OBELiX_185,1.93465,0.0753316,10.37490000,10.37490000,10.37490000
OBELiX_186,2.95319,0.0140458,9.95300000,9.95300000,9.95300000
OBELiX_187,2.14692,0,9.89800000,9.89800000,9.89800000
OBELiX_188,2.11216,0,9.95200000,9.95200000,9.95200000
OBELiX_189,2.93139,0,10.02000000,10.02000000,10.02000000
OBELiX_18,4.41478,0.00321194,19.21700000,3.69960000,6.52900000
OBELiX_190,2.85464,0,10.10900000,10.10900000,10.10900000
OBELiX_191,2.78923,0,10.18100000,10.18100000,10.18100000
OBELiX_192,2.15141,0,9.89110000,9.89110000,9.89110000
OBELiX_193,1.8673,0.0287795,10.03600000,10.03600000,10.03600000
OBELiX_194,1.82616,0.0411683,10.11080000,10.11080000,10.11080000
OBELiX_195,2.96919,0,9.97730000,9.97730000,9.97730000
OBELiX_196,2.96508,0,9.98190000,9.98190000,9.98190000
OBELiX_197,2.96045,0,9.98710000,9.98710000,9.98710000
OBELiX_198,2.9545,0,9.99380000,9.99380000,9.99380000
OBELiX_199,2.94689,0,10.00240000,10.00240000,10.00240000
OBELiX_19,3.87215,0.0279534,6.91880000,11.97420000,6.86350000
OBELiX_1,3.56006,0,5.38500000,5.43070000,5.89160000
OBELiX_200,2.94036,0,10.00980000,10.00980000,10.00980000
OBELiX_201,2.932,0,10.01930000,10.01930000,10.01930000
OBELiX_202,2.92788,0,10.02400000,10.02400000,10.02400000
OBELiX_203,2.92132,0,10.03150000,10.03150000,10.03150000
OBELiX_204,2.91695,0,10.03650000,10.03650000,10.03650000
OBELiX_205,2.90339,0,10.05210000,10.05210000,10.05210000
OBELiX_206,2.90799,0,10.04680000,10.04680000,10.04680000
OBELiX_207,2.90339,0,10.05210000,10.05210000,10.05210000
OBELiX_208,2.1629,0,9.80192000,9.80192000,9.80192000
OBELiX_209,2.95962,0,9.98804000,9.98804000,9.98804000
OBELiX_20,3.26445,0,8.07100000,5.30400000,15.99435072
OBELiX_210,2.95768,0,9.99022000,9.99022000,9.99022000
OBELiX_211,3.16085,0,9.99460000,9.99460000,9.99460000
OBELiX_212,2.63328,0,9.99745000,9.99745000,9.99745000
OBELiX_213,2.62506,0,10.00787000,10.00787000,10.00787000
OBELiX_214,2.6174,0,10.01763000,10.01763000,10.01763000
OBELiX_215,2.61095,0,10.02587000,10.02587000,10.02587000
OBELiX_216,2.61045,0,10.02650700,10.02650700,10.02650700
OBELiX_217,2.60521,0,10.03322000,10.03322000,10.03322000
OBELiX_218,2.59849,0,10.04186000,10.04186000,10.04186000
OBELiX_219,2.89714,0,10.05219000,10.05219000,10.05219000
OBELiX_21,1.97523,0.143558,7.00400000,6.50300000,12.99600000
OBELiX_220,3.52469,0,9.97873000,9.97873000,9.97873000
OBELiX_221,2.75746,0,9.84988000,9.84988000,9.84988000
OBELiX_222,2.82208,0,10.14135000,10.14135000,10.14135000
OBELiX_223,2.8192,0,10.14480000,10.14480000,10.14480000
OBELiX_224,3.43356,0,10.23476000,10.23476000,10.23476000
OBELiX_225,3.28438,0,10.28510000,10.28510000,10.28510000
OBELiX_226,3.27033,0,10.29980000,10.29980000,10.29980000
OBELiX_227,1.90195,0.115334,11.72041000,11.72041000,11.72041000
OBELiX_228,2.15926,0,11.78310000,11.78310000,11.78310000
OBELiX_229,2.59398,0,12.16700000,12.16700000,12.16700000
OBELiX_22,4.12244,0,6.12000000,6.18500000,6.21000000
OBELiX_230,5.18742,0,12.97830000,12.97830000,12.97830000
OBELiX_231,5.1891,0,12.97690000,12.97690000,12.97690000
OBELiX_232,2.0103,0,3.90833700,3.90833700,3.90833700
OBELiX_233,2.91245,0,3.88450000,3.88450000,3.88450000
OBELiX_234,2.90484,0,4.05600000,4.05600000,4.05600000
OBELiX_235,6.72759,0,3.86970000,3.86970000,3.86970000
OBELiX_236,6.76949,0,3.86170000,3.86170000,3.86170000
OBELiX_237,6.7816,0,3.85940000,3.85940000,3.85940000
OBELiX_238,5.44664,0.00294126,3.84720000,3.84720000,3.84720000
OBELiX_239,2.90484,0,4.05600000,4.05600000,4.05600000
OBELiX_23,3.78666,0.0697713,7.41600000,6.85400000,13.69600000
OBELiX_240,6.64278,0,7.77220000,7.77220000,7.77220000
OBELiX_241,3.9085,0,8.93896000,8.93896000,8.93896000
OBELiX_242,1.92709,0.0209124,8.36200000,8.36200000,8.36200000
OBELiX_243,0.157536,4.1437,8.36490000,8.36490000,8.36490000
OBELiX_244,1.92391,0.0162793,8.36660000,8.36660000,8.36660000
OBELiX_245,1.92136,0.0141774,8.37030000,8.37030000,8.37030000
OBELiX_246,1.86488,0.085078,10.50270000,10.50270000,10.50270000
OBELiX_247,1.92012,0.079266,10.40100000,10.40100000,10.40100000
OBELiX_248,1.87268,0.0905229,10.48810000,10.48810000,10.48810000
OBELiX_249,1.88262,0.0853172,10.46960000,10.46960000,10.46960000
OBELiX_24,2.22199,0,5.84500000,4.35300000,6.45400000
OBELiX_250,3.63011,0.0236962,10.48171000,10.48171000,10.48171000
OBELiX_251,6.80312,0,10.46401000,10.46401000,10.46401000
OBELiX_252,4.23199,0.0417014,10.49090000,10.49090000,10.49090000
OBELiX_253,5.27838,0.0327221,10.46870000,10.46870000,10.46870000
OBELiX_254,4.73214,0,10.48564000,10.48564000,10.48564000
OBELiX_255,6.80136,0,10.46491000,10.46491000,10.46491000
OBELiX_256,5.807,0,12.71520000,12.71520000,12.71520000
OBELiX_257,7.04246,0,12.81760000,12.81760000,12.81760000
OBELiX_258,6.22183,0,12.99726000,12.99726000,12.99726000
OBELiX_259,5.52718,0,12.91010000,12.91010000,12.91010000
OBELiX_25,1.30354,0.24679,5.83900000,6.39000000,15.96100000
OBELiX_260,5.53104,0,12.90710000,12.90710000,12.90710000
OBELiX_261,5.49214,0,12.93750000,12.93750000,12.93750000
OBELiX_262,6.33387,0.00796038,12.82300000,12.82300000,12.82300000
OBELiX_263,5.43146,0,12.98550000,12.98550000,12.98550000
OBELiX_264,5.51244,0,12.92160000,12.92160000,12.92160000
OBELiX_265,5.45233,0,12.96891000,12.96891000,12.96891000
OBELiX_266,5.46915,0,12.95560000,12.95560000,12.95560000
OBELiX_267,6.73549,0,13.06520000,13.06520000,13.06520000
OBELiX_268,6.69836,0,13.08930000,13.08930000,13.08930000
OBELiX_269,6.36228,0,12.66238000,12.66238000,12.66238000
OBELiX_26,5.66823,0,5.87400000,6.21290000,5.84810000
OBELiX_270,6.50165,0,12.62138000,12.62138000,12.62138000
OBELiX_271,5.97824,0,12.85660000,12.85660000,12.85660000
OBELiX_272,5.92734,0,12.89330000,12.89330000,12.89330000
OBELiX_273,5.7979,0,12.72185000,12.72185000,12.72185000
OBELiX_274,5.65148,0,12.83078000,12.83078000,12.83078000
OBELiX_275,5.01736,0,12.72500000,12.72500000,12.72500000
OBELiX_276,6.46821,0,13.00100000,13.00100000,13.00100000
OBELiX_277,5.46333,0,12.96020000,12.96020000,12.96020000
OBELiX_278,5.44453,0,12.97510000,12.97510000,12.97510000
OBELiX_279,6.47718,0,12.99500000,12.99500000,12.99500000
OBELiX_27,5.66203,0,5.87480000,6.21520000,5.85210000
OBELiX_280,5.75108,0,12.81580000,12.81580000,12.81580000
OBELiX_281,5.45944,0,12.96328000,12.96328000,12.96328000
OBELiX_282,5.80034,0,12.91360000,12.91360000,12.91360000
OBELiX_283,5.9261,0,12.82160000,12.82160000,12.82160000
OBELiX_284,5.91364,0,12.83060000,12.83060000,12.83060000
OBELiX_285,5.87564,0,12.85820000,12.85820000,12.85820000
OBELiX_286,6.34104,0,12.91529000,12.91529000,12.91529000
OBELiX_287,5.53019,0,12.83013000,12.83013000,12.83013000
OBELiX_288,6.22183,0,12.99726000,12.99726000,12.99726000
OBELiX_289,4.76708,0,12.70877000,12.70877000,12.70877000
OBELiX_28,5.66717,0,5.87500000,6.21200000,5.84900000
OBELiX_290,5.50081,0,12.93070000,12.93070000,12.93070000
OBELiX_291,5.62306,0,12.83630000,12.83630000,12.83630000
OBELiX_292,7.44127,0,12.95900000,12.95900000,12.95900000
OBELiX_293,5.46611,0,12.95800000,12.95800000,12.95800000
OBELiX_294,7.04246,0,12.81760000,12.81760000,12.81760000
OBELiX_295,7.05368,0,12.81080000,12.81080000,12.81080000
OBELiX_296,7.03752,0,12.82060000,12.82060000,12.82060000
OBELiX_297,7.02058,0,12.83090000,12.83090000,12.83090000
OBELiX_298,6.99536,0,12.84630000,12.84630000,12.84630000
OBELiX_299,6.98524,0,12.85250000,12.85250000,12.85250000
OBELiX_29,3.06797,0.036265,8.55390000,8.60990000,14.72217225
OBELiX_2,3.40055,0.0188558,5.17440000,5.31150000,7.26170000
OBELiX_300,5.96409,0,12.79432000,12.79432000,12.79432000
OBELiX_301,2.94207,0,12.92820000,12.92820000,12.92820000
OBELiX_302,5.75317,0,12.94880000,12.94880000,12.94880000
OBELiX_303,5.86584,0,12.94450000,12.94450000,12.94450000
OBELiX_304,5.48285,0,12.94480000,12.94480000,12.94480000
OBELiX_305,5.99214,0,12.84665000,12.84665000,12.84665000
OBELiX_306,2.67106,0.0222383,14.09340000,8.07139000,6.46112000
OBELiX_307,2.35919,0.0589355,14.81640000,8.16696000,6.55387000
OBELiX_308,2.44204,0.0492294,14.62760000,8.07968000,6.48252000
OBELiX_309,3.80035,0.0316971,14.98259000,8.25908000,6.62790000
OBELiX_30,4.41516,0.0231203,4.85500000,17.85700000,5.57710000
OBELiX_310,3.67956,0.0191817,14.79777000,8.19907000,6.50236000
OBELiX_311,3.63328,0.0182425,14.88040000,8.20822000,6.54131000
OBELiX_312,3.4729,0.0406346,14.93267000,8.23052000,6.58493000
OBELiX_313,2.37982,0.0270272,14.25036000,7.85208000,6.22238000
OBELiX_314,2.28783,0.0323189,14.40259000,7.97440000,6.30594000
OBELiX_315,3.72477,0.0215798,14.59532000,8.22373000,6.49299000
OBELiX_316,2.20025,0.0371503,14.47728000,8.11467000,6.41034000
OBELiX_317,2.44722,0,8.68770000,8.68770000,12.58270000
OBELiX_318,2.42557,0,8.70680000,8.70680000,12.63940000
OBELiX_319,2.41004,0,8.71820000,8.71820000,12.68760000
OBELiX_31,3.53076,0.0237739,4.94500000,22.08800000,9.83739779
OBELiX_320,2.70859,0,8.72970000,8.72970000,12.74280000
OBELiX_32,2.88602,0.0336034,8.11990000,10.24192000,8.10549000
OBELiX_33,1.73705,0,5.15020000,7.08240000,6.79080000
OBELiX_34,0.916087,0.206181,4.82540000,7.80400000,7.89680000
OBELiX_35,2.98486,0.0178568,10.15970000,8.41550000,5.88430000
OBELiX_36,3.55449,0,10.44000000,5.99100000,10.20400000
OBELiX_37,2.75195,0.0127837,14.20100000,8.38700000,9.86100000
OBELiX_38,4.16088,0,5.41630000,9.02620000,5.41560000
OBELiX_39,2.41599,0.0578894,10.16200000,10.17200000,7.44600000
OBELiX_3,2.63689,0.0206076,5.18880000,7.41180000,7.67350000
OBELiX_40,3.50697,0.00880532,6.39640000,11.08640000,12.40480000
OBELiX_41,3.51064,0.0263314,7.14700000,12.28300000,14.01600000
OBELiX_42,2.17968,0,17.57830000,9.64040000,12.07960000
OBELiX_43,3.52668,0.0445745,16.38600000,7.05900000,9.67700000
OBELiX_44,5.96374,0.0171067,9.71545400,11.53580000,10.69708000
OBELiX_45,6.37399,0.0265705,7.41300000,12.83800000,14.20000000
OBELiX_46,2.0692,0.0408081,14.31901000,11.98037000,6.62700000
OBELiX_47,2.36821,0,4.93910000,6.48030000,10.14680000
OBELiX_48,1.93446,0.0756799,7.70829000,6.53521000,6.13650000
OBELiX_49,2.58892,0.0685536,7.96450000,6.84040000,6.37740000
OBELiX_4,2.68386,0.0175046,5.43440000,7.37930000,7.98400000
OBELiX_50,2.64558,0,6.32590000,5.44600000,4.94690000
OBELiX_51,4.18773,0,5.40200000,6.37200000,5.00700000
OBELiX_52,2.21306,0.0445988,7.65545000,8.53175000,10.78940000
OBELiX_53,2.90606,0.027742,7.96710000,6.78830000,10.09120000
OBELiX_54,2.13654,0.00753554,10.52040000,6.07560000,9.95300000
OBELiX_55,3.00208,0,9.18600000,5.30200000,4.77600000
OBELiX_56,2.63007,0,9.06920000,5.39990000,4.68560000
OBELiX_57,1.96187,0.0912598,6.74418792,11.62999746,5.96390060
OBELiX_58,6.68434,0,3.86380000,3.87530000,7.79010000
OBELiX_59,6.68552,0,3.86550000,3.87570000,7.78450000
OBELiX_5,2.34938,0.037993,5.18580000,7.10673299,8.56320000
OBELiX_60,6.71073,0,3.86540000,3.86710000,7.77270000
OBELiX_61,5.8376,0.0250788,3.90300000,3.90400000,7.85400000
OBELiX_62,5.83013,0.0144525,3.90600000,3.90700000,7.85200000
OBELiX_63,5.80264,0.0179642,3.91200000,3.91500000,7.86100000
OBELiX_64,5.79819,0.0127523,3.91500000,3.91500000,7.86100000
OBELiX_65,5.77075,0.0146948,3.92300000,3.93110000,7.85000000
OBELiX_66,5.34286,0.0297294,3.91800000,3.92300000,7.86000000
OBELiX_67,5.784,0.0185235,3.91670000,3.93040000,7.84600000
OBELiX_68,2.25176,0,8.94700000,9.12000000,9.08700000
OBELiX_69,3.86736,0,7.61550000,17.12600000,10.12300000
OBELiX_6,2.54628,0.00846725,3.31218000,6.68272000,9.27858000
OBELiX_70,2.9147,0,9.09400000,9.20200000,9.17300000
OBELiX_71,1.92508,0.0684439,12.81900000,8.21950000,6.12360000
OBELiX_72,2.44478,0,10.46120000,6.11130000,4.92080000
OBELiX_73,3.26863,0,10.52587000,6.11525000,4.97031000
OBELiX_74,2.29686,0.011642,10.29750000,6.50210000,5.00116000
OBELiX_75,2.3721,0.017925,10.08925000,6.51080000,4.93587800
OBELiX_76,2.44201,0,10.46900000,6.11530000,4.91950000
OBELiX_77,2.33381,0.045085,14.06580000,7.75102000,6.14973000
OBELiX_78,3.76411,0,10.89600000,6.25160000,5.15710000
OBELiX_79,3.73351,0,10.93800000,6.27400000,5.16090000
OBELiX_7,1.97914,0.0834505,6.03160000,12.33974205,12.53030000
OBELiX_80,3.79074,0.0332969,14.93100000,8.22170000,6.59890000
OBELiX_81,2.80231,0.0236947,13.81200000,7.96240000,6.37000000
OBELiX_82,4.60789,0.0192887,5.07700000,10.43800000,17.48300000
OBELiX_83,4.0618,0.0269634,5.11670000,10.46460000,17.62280000
OBELiX_84,4.63668,0.0185779,5.07000000,10.48000000,17.64000000
OBELiX_85,2.43174,0,10.49000000,6.12000000,4.92660000
OBELiX_86,3.159,0,7.76600000,7.35700000,6.04900000
OBELiX_87,7.01187,0.0114349,5.20800000,18.04100000,4.99900000
OBELiX_88,2.62039,0.0886281,5.73800000,5.73800000,8.91400000
OBELiX_89,3.40158,0.0253941,5.29430000,5.29430000,11.62540000
OBELiX_8,5.7737,0.0167276,8.83060000,8.83060000,22.02699000
OBELiX_90,3.42934,0.0247336,5.28400000,5.28400000,11.57630000
OBELiX_91,3.48925,0.0207896,5.25460000,5.25460000,11.50520000
OBELiX_92,1.74689,0,4.64350000,4.64350000,5.25920000
OBELiX_93,6.70712,0,3.87270000,3.87270000,7.75100000
OBELiX_94,6.72473,0,3.86880000,3.86880000,7.74630000
OBELiX_95,6.70669,0,3.87410000,3.87410000,7.74590000
OBELiX_96,4.9866,0,3.77000000,3.77000000,12.07600000
OBELiX_97,5.23229,0,3.74650000,3.74650000,11.89500000
OBELiX_98,7.98826,0,5.53300000,5.53300000,7.90300000
OBELiX_99,7.98537,0,5.53400000,5.53400000,7.90300000
OBELiX_9,5.26883,0.012257,9.02380000,9.23530000,9.73020000
USPEX_0,3.16104,0.116436,4.88367532,7.50550936,4.74103668
USPEX_100,2.24646,0.0579578,5.48476510,11.23323044,9.34937194
USPEX_101,1.74783,0.103179,21.70988227,7.54266567,7.54266567
USPEX_102,2.36078,0.0307187,5.55675983,8.34102615,10.47680760
USPEX_103,2.55892,0.0181248,5.63491537,16.68595239,5.61244995
USPEX_104,1.72555,0.102912,9.82100320,10.14010078,9.35386035
USPEX_105,2.67078,0,5.95519220,5.52284804,5.70514984
USPEX_106,1.80993,0.104722,10.26719181,11.05858384,10.26719181
USPEX_107,2.32149,0.0475901,5.67746562,7.96649445,11.49669439
USPEX_109,2.48346,0.0333567,12.45703268,5.20520642,8.20851836
USPEX_10,2.05464,0.0641863,9.26278876,9.26278876,9.26278876
USPEX_110,1.62999,0.12232,8.74457773,8.60018112,14.97988363
USPEX_111,2.00534,0.0378589,5.63275453,14.07151565,5.12212256
USPEX_112,2.45917,0.0242358,5.07323920,20.29100294,5.07323920
USPEX_114,2.58456,0.018092,12.95804596,6.17533433,6.59054143
USPEX_115,2.11778,0.127662,13.40120058,11.95882477,9.72878983
USPEX_116,1.75621,0.188861,6.44816955,6.44816955,3.46061828
USPEX_117,2.06784,0.0749864,5.97155614,10.11453521,10.11453521
USPEX_118,2.14721,0.0542472,9.58034913,5.53106684,9.58034913
USPEX_119,2.19454,0.0223373,20.62450001,5.03715263,5.03715263
USPEX_11,1.84227,0.134725,8.74668104,19.66786163,7.15637540
USPEX_120,2.19941,0.0410656,8.07170655,9.57498274,6.27712798
USPEX_121,2.07081,0,4.88395349,5.18557765,16.60701385
USPEX_122,2.03708,0.0712197,10.23977514,9.48030074,10.47105125
USPEX_123,2.15889,0.0472279,10.17176055,9.89540246,10.19949541
USPEX_124,2.31302,0.0485339,10.18202813,11.14400020,10.20682122
USPEX_126,1.63606,0.083163,12.44380193,8.67144476,8.87847650
USPEX_127,4.06115,0.0243379,14.89244002,13.28078561,6.73604142
USPEX_128,4.31836,0.0263896,10.37670698,5.75660173,22.02826654
USPEX_129,1.27114,0.192442,6.07293952,7.23288379,7.41239898
USPEX_12,1.81442,0.209356,4.72352226,6.00495107,6.38219414
USPEX_130,1.8943,0.0906087,18.85319465,8.13675340,17.97307718
USPEX_131,1.81198,0.117352,10.77491237,11.27561623,12.04916458
USPEX_132,4.71746,0.0296855,8.94353513,15.85006694,10.46349793
USPEX_133,4.0307,0.0331605,6.36112956,21.93141716,10.15883375
USPEX_134,1.61461,0.1191,6.03463214,26.71794193,7.18180003
USPEX_135,4.18814,0.0297363,9.73501145,7.60788478,24.74340098
USPEX_136,4.20142,0.0269528,6.64313810,28.71490361,9.40551553
USPEX_137,4.34904,0.0171072,6.47647376,14.31817833,18.56359307
USPEX_138,1.91557,0.0808116,9.56739706,7.34923239,8.23090036
USPEX_139,4.02784,0.030314,13.07378955,8.77947911,12.38512579
USPEX_13,2.86267,0.0379086,6.81892939,5.11043716,5.27687478
USPEX_140,4.50299,0.0134044,10.04853710,5.53423755,5.53423755
USPEX_141,3.69926,0.0352719,5.37470284,5.52869433,11.13838418
USPEX_143,3.92962,0.0317842,6.05167249,6.05167249,9.17940219
USPEX_144,4.68911,0,6.73668564,6.73668564,6.73668564
USPEX_145,4.87262,0.0145261,6.79967305,6.79967305,6.79967305
USPEX_146,5.31596,0,7.66326786,5.52656847,6.66954738
USPEX_147,2.5585,0.0644987,4.77212700,3.76836589,12.27275948
USPEX_148,4.95614,0.0221463,12.31663848,12.31663848,8.70917535
USPEX_149,4.26996,0.0163421,8.55565033,5.97292591,5.97292591
USPEX_14,2.9392,0.0659023,8.27378347,9.09459910,12.54906301
USPEX_150,5.30712,0.0101675,5.65888927,5.65989209,10.15752072
